id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
31840,Serviced apartment in Florence · ★4.66 · 1 bedroom · 1 bed · 1 private bath,380378,Officina 360,,Centro Storico,43.77709,11.25216,Private room,158,1,124,2023-03-01,0.78,27,322,2,
32120,Rental unit in Florence · ★4.88 · 1 bedroom · 1 bed · 1 bath,99235,Lucia,,Gavinana Galluzzo,43.76157,11.27741,Entire home/apt,85,1,25,2023-06-18,0.16,1,62,5,
32180,Condo in Florence · ★4.79 · 2 bedrooms · 4 beds · 2 baths,13925330,Cesare,,Centro Storico,43.76832,11.24348,Entire home/apt,105,6,29,2023-06-01,0.18,2,117,7,
32395,Bed and breakfast in Florence · ★4.84 · 1 bedroom · 1 bed · 1 private bath,140170,Fabio,,Centro Storico,43.76268,11.24149,Hotel room,70,1,643,2023-06-06,4.10,5,35,81,06139100488
39115,Home in Florence · ★4.57 · 1 bedroom · 2 beds · 0 baths,167739,Lorenzo,,Centro Storico,43.77525,11.25258,Private room,89,2,68,2023-05-18,0.44,11,282,13,
39165,Home in Florence · ★4.25 · 1 bedroom · 2 beds · 1 private bath,167739,Lorenzo,,Centro Storico,43.77525,11.25258,Private room,105,2,19,2023-06-05,0.12,11,282,4,
39822,Rental unit in Florence · ★4.41 · 2 bedrooms · 2 beds · 1 bath,154769,Matilde,,Centro Storico,43.76742,11.24378,Entire home/apt,100,4,29,2022-11-26,0.19,4,20,4,
43369,Rental unit in Florence · ★4.86 · 2 bedrooms · 1 bed · 1 bath,4156491,Apartments Florence,,Centro Storico,43.76944,11.26331,Entire home/apt,203,3,7,2018-09-22,0.06,90,15,0,048017LTN4271
44781,Condo in Florence · ★4.85 · 1 bedroom · 1 bed · 1 bath,33210,Rocco,,Centro Storico,43.76418,11.24618,Entire home/apt,175,4,369,2023-06-16,2.39,1,135,43,
45606,Rental unit in Florence · ★4.76 · 1 bedroom · 4 beds · 1 bath,202686,Tarcisio,,Isolotto Legnaia,43.7728,11.23746,Entire home/apt,79,4,427,2023-06-19,2.92,3,210,13,
46520,Serviced apartment in Florence · ★4.70 · 1 bedroom · 1 bed · 1 private bath,380378,Officina 360,,Centro Storico,43.77699,11.25216,Private room,160,1,96,2023-04-08,0.62,27,338,2,
46523,Serviced apartment in Florence · ★4.64 · 1 bedroom · 1 bed · 1 private bath,380378,Officina 360,,Centro Storico,43.77704,11.25217,Private room,121,1,246,2023-06-20,1.59,27,345,13,
46524,Serviced apartment in Florence · ★4.72 · 1 bedroom · 2 beds · 1 private bath,380378,Officina 360,,Centro Storico,43.777,11.25216,Private room,172,1,95,2023-06-06,0.64,27,344,10,
47498,Serviced apartment in Florence · ★4.57 · 1 bedroom · 1 bed · 2 shared baths,215302,Darko,,Centro Storico,43.77386,11.25028,Private room,95,1,517,2023-05-18,3.34,3,205,13,
